# Converted from eigencrow/IBMTTSDictionaries US-English files.
# Source data is CC0-1.0. Columns: spelling, kind, priority:value.
acetonaphthone	phonetic	fallback:"AEsAXDXOWn'AEfTH"OWn
acetonemia	phonetic	fallback:"AEsIXDXOWn'IYmIYAX
acetonemic	phonetic	fallback:"AEsAXDXOWn'IYmIXk
acetonide	phonetic	fallback:"AEsIXt'OWn"AYd
acetonitrile	phonetic	fallback:AXs"IYDXOWn'AYtrAXl
acetonuria	phonetic	fallback:"AEsAXDXOWn'UWrIYAX
acetophenetidin	phonetic	fallback:"AEsIXDXOWfIXn'EHDXIXDXIXn
acetophenone	phonetic	fallback:"AEsIXDXOWfIXn'OWn
acetopyrine	phonetic	fallback:"AEsIXtOWp'AYr"IYn
acetose	phonetic	fallback:'AEsIXt"OWs
acetosoluble	phonetic	fallback:AXs"IYDXOWs'AAlyAXbAXl
acetozone	phonetic	fallback:AXs'IYDXAXz"OWn
acetum	phonetic	fallback:AXs'IYDXAXm
acetyl	phonetic	fallback:AXs'IYDXAXl
acetylaniline	phonetic	fallback:AXs"IYDXAXl'AEnAXlIXn
acetylase	phonetic	fallback:AXs'EHDXIXl"EYs
acetylbenzene	phonetic	fallback:AXs"IYDXAXlb'EHnz"IYn
acetylcholine	phonetic	fallback:AXs"IYDXAXlk'OWl"IYn
acetylcholinesterase	phonetic	fallback:AXs"IYDXAXlk"OWlIXn'EHstAXrEYs
acetylcholinic	phonetic	fallback:AXs"IYDXIXlkAXl'IHnIXk
acetylcysteine	phonetic	fallback:AXs"IYDXAXls'IHstAX"IYn
acetylization	phonetic	fallback:AXs"EHDXAXlIXz'EYSHAXn
acetylmethylcarbinol	phonetic	fallback:AXs"IYDXAXlm"EHTHAXlk'AArbIXn"OWl
acetylphenylhydrazine	phonetic	fallback:AXs"IYDXAXlf"EHnAXlh'AYdrAXz"IYn
acetylpyrazine	phonetic	fallback:AXs"IYDXAXlp'IYrAXz"IYn
acetylpyrroline	phonetic	fallback:AXs"IYtIXlp'AYrAXl"IYn
acetylsalicylate	phonetic	fallback:AXs"IYDXAXlsAXl'IHsIXl"EYt
acetylsalicylic	phonetic	fallback:AXs"IYDXAXls"AElIXs'IHlIXk
acetyltransferase	phonetic	fallback:AXs"IYDXAXltr'AEnsfAXr"EYs
acevedo	phonetic	fallback:"AAsIXv'EYDXOW
acey	phonetic	fallback:'EYsIY
ACH	text	override:ay cea aitch
